Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI,Target
2018-07-06,45500,45850,44650,44900,17843706,-0.0228509249183895,37.85714285714285,1.0,1
2018-07-09,45500,46100,45200,45600,11602464,0.0155902004454342,40.410958904109584,1.0,1
2018-07-10,46200,46550,46100,46300,10528665,0.0153508771929824,45.625,1.0,0
2018-07-11,46400,46450,45400,46000,11224077,-0.0064794816414687,43.63636363636363,0.9327404581223436,0
2018-07-12,45900,46250,45450,45500,11828104,-0.0108695652173913,39.76608187134504,0.8018400163861799,1
2018-07-13,45800,46500,45750,46500,11543389,0.0219780219780219,49.16201117318436,1.0,0
2018-07-16,46800,46800,46000,46050,7678719,-0.0096774193548386,44.751381215469614,0.8272079111273312,0
2018-07-17,46150,46200,45600,45850,8892953,-0.004343105320304,37.34939759036145,0.5372257034504911,1
2018-07-18,46700,47200,46450,46550,10952645,0.0152671755725191,48.40764331210192,0.9704466709416768,1
2018-07-19,47050,47200,46600,46900,9880128,0.0075187969924812,51.55279503105591,1.0,1
2018-07-20,47000,47600,46700,47450,10474547,0.011727078891258,62.66666666666667,1.0,0
2018-07-23,47100,47200,46150,46500,10823782,-0.0200210748155953,52.22929936305732,0.6003296851170715,0
2018-07-24,46350,46600,45950,46150,8261363,-0.0075268817204301,49.38271604938272,0.4753008084226356,0
2018-07-25,46250,46550,45900,46150,7222471,0.0,51.28205128205128,0.5503221397891446,1
2018-07-26,46100,47000,46000,46900,7374946,0.0162513542795232,63.333333333333336,1.0,0
2018-07-27,46450,47000,46450,46900,4762460,0.0,59.55882352941176,0.8547367942540228,0
2018-07-30,46550,46800,46350,46500,5723035,-0.0085287846481876,51.53846153846153,0.5460706218047792,0
2018-07-31,46200,46450,46000,46250,8033607,-0.0053763440860215,51.93798449612403,0.5614463894180654,1
2018-08-01,46050,46850,46050,46550,7484499,0.0064864864864864,58.4,0.8101391035548685,0
2018-08-02,46550,46800,45500,45550,8560924,-0.0214822771213748,42.4,0.194374034003091,1
2018-08-03,45850,45900,45450,45750,8274944,0.004390779363337,47.5,0.3906491499227201,1
2018-08-06,46150,46150,45750,45800,6771979,0.0010928961748633,49.57264957264957,0.3426424955087376,1
2018-08-07,46300,46750,45900,46700,9058174,0.019650655021834,51.2396694214876,0.4222772016634202,1
2018-08-08,47000,47000,46550,46800,6429338,0.0021413276231263,49.13793103448276,0.3218756863606415,1
2018-08-09,47000,47050,46450,46900,12010886,0.0021367521367521,44.85981308411216,0.1175069944639564,0
