stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,company_id
20170525.0,55800.0,56400.0,56400.0,55400.0,1996135.0,111865587400.0,0.0,0.0,N,3.0,0.0,,000660
20170524.0,55800.0,55700.0,56500.0,55600.0,2324952.0,130096705400.0,0.0,0.0,N,2.0,700.0,,000660
20170523.0,55100.0,56400.0,56500.0,55000.0,2410542.0,133653961100.0,0.0,0.0,N,5.0,-900.0,,000660
20170522.0,56000.0,54900.0,56000.0,54800.0,2544180.0,140824387200.0,0.0,0.0,N,2.0,1800.0,,000660
20170519.0,54200.0,55100.0,55600.0,54200.0,2860160.0,156511803722.0,0.0,0.0,N,5.0,-1500.0,,000660
20170518.0,55700.0,53600.0,55700.0,53400.0,3494997.0,190530143100.0,0.0,0.0,N,2.0,1000.0,,000660
20170517.0,54700.0,55400.0,55700.0,54400.0,2485465.0,136384483800.0,0.0,0.0,N,5.0,-600.0,,000660
20170516.0,55300.0,56200.0,56800.0,55200.0,2546047.0,142368617400.0,0.0,0.0,N,5.0,-300.0,,000660
20170515.0,55600.0,55300.0,56100.0,55300.0,1542366.0,85739612600.0,0.0,0.0,N,2.0,300.0,,000660
20170512.0,55300.0,56400.0,56400.0,55100.0,2303244.0,128048287177.0,0.0,0.0,N,5.0,-1100.0,,000660
20170511.0,56400.0,56000.0,56400.0,54800.0,3509393.0,196024200280.0,0.0,0.0,N,2.0,800.0,,000660
20170510.0,55600.0,57400.0,58100.0,55200.0,4766870.0,269366241500.0,0.0,0.0,N,5.0,-1300.0,,000660
20170508.0,56900.0,56000.0,57000.0,55700.0,3818771.0,215785460500.0,0.0,0.0,N,2.0,1000.0,,000660
20170504.0,55900.0,55900.0,55900.0,55000.0,2780438.0,154745815500.0,0.0,0.0,N,2.0,500.0,,000660
20170502.0,55400.0,55300.0,55900.0,54800.0,4347745.0,240956691700.0,0.0,0.0,N,2.0,1400.0,,000660
20170428.0,54000.0,53600.0,54700.0,53400.0,3573387.0,192751131700.0,0.0,0.0,N,2.0,400.0,,000660
20170427.0,53600.0,53800.0,53900.0,52700.0,2743963.0,146919400400.0,0.0,0.0,N,5.0,-100.0,,000660
20170426.0,53700.0,53100.0,54200.0,53000.0,5609007.0,301324293700.0,0.0,0.0,N,2.0,1300.0,,000660
20170425.0,52400.0,52800.0,52800.0,51300.0,5312931.0,276789790000.0,0.0,0.0,N,3.0,0.0,,000660
20170424.0,52400.0,52700.0,53200.0,52100.0,3158545.0,165871353900.0,0.0,0.0,N,2.0,400.0,,000660
20170421.0,52000.0,51800.0,52500.0,51300.0,3834454.0,199520369456.0,0.0,0.0,N,2.0,600.0,,000660
20170420.0,51400.0,49750.0,51700.0,49700.0,3573280.0,181798039362.0,0.0,0.0,N,2.0,1550.0,,000660
20170419.0,49850.0,50300.0,50400.0,49850.0,1587172.0,79511141728.0,0.0,0.0,N,5.0,-350.0,,000660
20170418.0,50200.0,49600.0,50400.0,49300.0,1899560.0,94570762700.0,0.0,0.0,N,2.0,1000.0,,000660
20170417.0,49200.0,50200.0,50300.0,49100.0,2002100.0,98909188600.0,0.0,0.0,N,5.0,-600.0,,000660
20170414.0,49800.0,49750.0,50700.0,49450.0,2845128.0,142925017950.0,0.0,0.0,N,2.0,50.0,,000660
20170413.0,49750.0,49100.0,50200.0,48650.0,2367158.0,117065730550.0,0.0,0.0,N,2.0,750.0,,000660
20170412.0,49000.0,48800.0,49200.0,48550.0,1694663.0,82702802525.0,0.0,0.0,N,2.0,150.0,,000660
20170411.0,48850.0,48550.0,49350.0,48400.0,2384127.0,116511682700.0,0.0,0.0,N,5.0,-150.0,,000660
20170410.0,49000.0,49700.0,49750.0,48950.0,1824895.0,89822690638.0,0.0,0.0,N,5.0,-800.0,,000660
20170407.0,49800.0,49450.0,49800.0,48700.0,2645476.0,130596375350.0,0.0,0.0,N,2.0,400.0,,000660
20170406.0,49400.0,50300.0,50500.0,49100.0,2991825.0,147941742500.0,0.0,0.0,N,5.0,-900.0,,000660
20170405.0,50300.0,50600.0,51000.0,49950.0,2758658.0,138832002302.0,0.0,0.0,N,5.0,-700.0,,000660
20170404.0,51000.0,52100.0,52200.0,50800.0,2192884.0,113279189400.0,0.0,0.0,N,5.0,-800.0,,000660
20170403.0,51800.0,50800.0,51900.0,50700.0,2361892.0,121772174100.0,0.0,0.0,N,2.0,1300.0,,000660
