stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,company_id
20240222,395000,402000,402000,395000,204188,81240046000,0,0.0,N,5,-5000,,030200
20240221,400000,393000,401000,391000,178105,70717279500,0,0.0,N,2,5000,,030200
20240220,395000,394000,396000,386000,231525,90759569000,0,0.0,N,2,500,,030200
20240219,394500,400000,404500,394000,346748,138081747900,0,0.0,N,5,-10000,,030200
20240216,404500,394000,408500,394000,521244,209968977848,0,0.0,N,2,18500,,030200
20240215,386000,393000,393000,385500,258465,100364086500,0,0.0,N,5,-500,,030200
20240214,386500,385000,390000,380000,205747,79107738500,0,0.0,N,5,-4500,,030200
20240213,391000,391000,393000,386000,253552,98922526500,0,0.0,N,2,6000,,030200
20240208,385000,393000,394500,385000,368228,143383852000,0,0.0,N,2,3000,,030200
20240207,382000,378000,395000,378000,454296,176295445500,0,0.0,N,2,8000,,030200
20240206,374000,382500,385000,374000,348821,131255940500,0,0.0,N,5,-13000,,030200
20240205,387000,396000,399000,387000,327198,128098457500,0,0.0,N,5,-6000,,030200
20240202,393000,377000,395000,376500,380372,148303469500,0,0.0,N,2,15500,,030200
20240201,377500,369000,379500,366000,305271,113497807500,0,0.0,N,2,5000,,030200
20240131,372500,371000,385000,368500,352675,132805151000,0,0.0,N,5,-2000,,030200
20240130,374500,383500,390000,373500,524836,200823483000,0,0.0,N,5,-4500,,030200
20240129,379000,363500,384000,360500,557298,209918942500,0,0.0,N,2,18500,,030200
20240126,360500,342500,366000,342000,597180,214790818000,0,0.0,N,2,13000,,030200
20240125,347500,351000,353500,345000,436330,152060259500,0,0.0,N,5,-6500,,030200
20240124,354000,358500,361500,350000,519692,184633739000,0,0.0,N,5,-4500,,030200
20240123,358500,354000,362500,354000,533096,191107576570,0,0.0,N,2,500,,030200
20240122,358000,374000,376000,358000,571765,206904334700,0,0.0,N,5,-16000,,030200
20240119,374000,380000,384500,373500,329271,124203791000,0,0.0,N,5,-2500,,030200
20240118,376500,372000,388500,367500,477618,180130270500,0,0.0,N,5,-2500,,030200
20240117,379000,395000,397500,379000,511751,196659584500,0,0.0,N,5,-16000,,030200
20240116,395000,398500,405500,395000,312693,124760195500,0,0.0,N,5,-5000,,030200
20240115,400000,400000,404000,396500,337909,135087914500,0,0.0,N,5,-8000,,030200
20240112,408000,417000,418500,405500,369362,151225926381,0,0.0,N,5,-8500,,030200
20240111,416500,415500,421500,415500,331233,138521846199,0,0.0,N,3,0,,030200
20240110,416500,430000,431500,416000,562351,235590592414,0,0.0,N,5,-15500,,030200
20240109,432000,442000,442000,432000,210683,91923279500,0,0.0,N,5,-4000,,030200
20240108,436000,445000,446000,435500,213935,93877954000,0,0.0,N,5,-9000,,030200
20240105,445000,445500,449000,442000,172950,77059957500,0,0.0,N,3,0,,030200
20240104,445000,444500,448500,440000,201870,89577242000,0,0.0,N,5,-1500,,030200
20240103,446500,462000,462000,446500,350254,158193025500,0,0.0,N,5,-20500,,030200
20240102,467000,469000,469500,463000,195216,91089738500,0,0.0,N,5,-5000,,030200
20231228,472000,463500,472000,458000,301048,140211202500,0,0.0,N,2,16500,,030200
20231227,455500,451000,459000,450000,173135,78665984000,2,0.0,N,2,8500,,030200
20231226,447000,454000,456500,446500,141182,63394324000,0,0.0,N,5,-3500,,030200
20231222,450500,454000,457000,450500,166640,75535849000,0,0.0,N,5,-500,,030200
20231221,451000,455000,456500,449500,243286,110062827000,0,0.0,N,5,-11000,,030200
20231220,462000,453500,463000,453000,308987,141949781000,0,0.0,N,2,11500,,030200
20231219,450500,451000,452500,446500,213617,96178751000,0,0.0,N,5,-1000,,030200
20231218,451500,457500,459000,450000,214655,97132496500,0,0.0,N,5,-1000,,030200
20231215,452500,459500,467000,449000,478586,218236785000,0,0.0,N,2,4000,,030200
20231214,448500,436500,450500,431000,484805,214196966500,0,0.0,N,2,19000,,030200
20231213,429500,442000,443000,429000,311146,134932914500,0,0.0,N,5,-16000,,030200
