Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI
2018-07-05,119000,122000,118000,121500,845590,0.01673640167364021,26.41509433962264,0.37967673385279144
2018-07-06,122500,126000,122500,123500,658197,0.016460905349794164,29.09090909090908,0.6256481161424121
2018-07-09,124000,125000,122500,124500,303024,0.00809716599190291,36.0,1.0
2018-07-10,123500,125500,122500,123500,328075,-0.008032128514056214,37.5,1.0
2018-07-11,121000,123000,120500,121500,384762,-0.01619433198380571,38.29787234042553,1.0
2018-07-12,121500,125000,121000,123000,613187,0.012345679012345734,34.09090909090909,0.7972939829954221
2018-07-13,123500,125000,122000,122500,306680,-0.004065040650406471,34.883720930232556,0.8354943951815292
2018-07-16,122500,127500,122500,126000,494043,0.02857142857142847,42.857142857142854,1.0
2018-07-17,126000,129000,125000,126500,436989,0.003968253968253954,47.826086956521735,1.0
2018-07-18,127000,128500,124000,124000,325090,-0.01976284584980237,47.826086956521735,1.0
2018-07-19,125000,125500,123500,124000,359064,0.0,46.666666666666664,0.9617128463476071
2018-07-20,124500,128500,122500,127000,463776,0.024193548387096753,57.44680851063829,1.0
2018-07-23,127500,131000,127000,129500,660426,0.019685039370078705,65.30612244897961,1.0
2018-07-24,129500,130000,126500,129500,479217,0.0,72.72727272727273,1.0
2018-07-25,130000,130500,129000,130500,305338,0.007722007722007707,71.42857142857143,0.9702380952380951
2018-07-26,131000,131500,128000,130000,484321,-0.003831417624521105,66.66666666666666,0.8431372549019603
2018-07-27,129500,131500,129000,129500,365369,-0.0038461538461538325,63.15789473684211,0.7523219814241486
2018-07-30,129000,131000,128500,130500,179748,0.007722007722007707,68.42105263157895,0.8885448916408667
2018-07-31,131000,131000,128500,129500,306556,-0.007662835249042099,72.22222222222221,0.986928104575163
2018-08-01,130000,130500,128000,128500,244440,-0.007722007722007707,65.71428571428572,0.814684756584198
2018-08-02,128000,128500,124000,125500,425332,-0.023346303501945553,57.5,0.49021739130434777
2018-08-03,124000,125500,124000,124000,468331,-0.01195219123505975,44.444444444444436,0.0
2018-08-06,124500,126000,124000,124500,317150,0.0040322580645162365,44.444444444444436,0.0
2018-08-07,124000,126000,123500,125000,285278,0.004016064257028162,53.125,0.306919642857143
2018-08-08,125500,129500,125500,127500,816582,0.020000000000000018,59.45945945945946,0.5308880308880309
2018-08-09,126500,127500,125500,126000,532068,-0.0117647058823529,47.05882352941176,0.0924369747899161
2018-08-10,126000,127000,124500,126000,194355,0.0,37.93103448275862,0.0
2018-08-13,125000,126000,123000,123500,319273,-0.019841269841269882,32.35294117647058,0.0
2018-08-14,124500,125000,122500,123000,291859,-0.004048582995951455,27.272727272727266,0.0
2018-08-16,122000,127000,122000,126500,561446,0.028455284552845628,41.02564102564102,0.30596369922212624
2018-08-17,125500,127000,125000,126500,207735,0.0,42.10526315789474,0.32998225901833256
2018-08-20,127500,128000,126000,127500,310969,0.007905138339920903,42.10526315789474,0.32998225901833256
2018-08-21,127000,127500,124000,125500,339831,-0.015686274509803977,40.0,0.33108108108108114
2018-08-22,125500,127000,124500,126000,329800,0.003984063745019917,43.58974358974359,0.506948522215698
2018-08-23,125500,126000,123000,124500,229027,-0.011904761904761862,47.22222222222223,0.6198049194232403
2018-08-24,123500,124500,123000,124500,232363,0.0,51.515151515151516,0.7531806615776082
2018-08-27,125000,125500,123500,124000,226756,-0.004016064257028162,48.48484848484849,0.6590330788804074
2018-08-28,125000,127000,124000,125000,402853,0.008064516129032251,50.0,0.7061068702290076
2018-08-29,125000,125000,123500,124000,309579,-0.008000000000000007,38.70967741935484,0.4717741935483873
2018-08-30,124000,125000,123000,123500,385998,-0.0040322580645161255,41.379310344827594,0.5818965517241383
2018-08-31,124000,126000,123000,125000,529278,0.012145748987854255,46.875,0.80859375
2018-09-03,124500,126000,123500,125000,264041,0.0,55.55555555555556,1.0
2018-09-04,125500,127000,124500,126500,297393,0.01200000000000001,62.06896551724138,1.0
2018-09-05,126500,131000,126500,129000,871735,0.01976284584980248,59.25925925925926,0.8797178130511464
2018-09-06,130000,136000,130000,134000,935048,0.03875968992248069,70.27027027027027,1.0
2018-09-07,136000,137000,131500,133000,793026,-0.007462686567164201,64.86486486486487,0.8287292817679559
2018-09-10,131500,133500,130000,131000,320236,-0.015037593984962405,64.86486486486487,0.8287292817679559
2018-09-11,130000,130500,128000,128000,514468,-0.022900763358778664,54.76190476190476,0.5086161536437778
2018-09-12,128500,131000,128000,129500,340635,0.01171875,61.904761904761905,0.7349381741646934
2018-09-13,130500,130500,128000,128500,411245,-0.007722007722007707,59.09090909090909,0.6457810145655449
2018-09-14,129500,131000,129000,129500,259936,0.0077821011673151474,62.22222222222223,0.7449969306322899
2018-09-17,129000,129500,128000,128500,305158,-0.007722007722007707,57.77777777777777,0.6041743400859421
2018-09-18,128500,130000,128000,128000,368661,-0.0038910505836575737,59.09090909090909,0.6130498533724339
2018-09-19,128500,129000,125500,126500,420484,-0.01171875,56.52173913043478,0.41233715272327726
2018-09-20,126500,130000,126000,129000,378436,0.01976284584980248,58.33333333333333,0.23029045643153503
2018-09-21,131000,131000,127500,129000,765535,0.0,58.33333333333333,0.23029045643153503
2018-09-27,130000,130500,128500,130500,465760,0.011627906976744207,58.33333333333333,0.23029045643153503
2018-09-28,130000,130500,128000,129500,295867,-0.007662835249042099,51.11111111111112,0.0
2018-10-01,130000,130000,128500,129000,233662,-0.0038610038610038533,36.11111111111111,0.0
2018-10-02,128500,129500,128000,128500,215297,-0.003875968992248069,37.14285714285714,0.03588213353226406
2018-10-04,128500,129000,122500,124500,671140,-0.0311284046692607,33.33333333333333,0.0
2018-10-05,126000,126000,123000,124500,284015,0.0,39.39393939393939,0.20979020979020976
2018-10-08,123500,124000,121500,122000,386710,-0.02008032128514059,28.57142857142857,0.0
2018-10-10,122500,123000,119500,120000,536984,-0.016393442622950838,27.027027027027017,0.0
2018-10-11,118500,120500,116000,116000,701523,-0.033333333333333326,18.604651162790702,0.0
2018-10-12,115500,118000,114500,115500,672541,-0.004310344827586188,19.04761904761905,0.01094119109784903
2018-10-15,116500,117000,111500,113500,697689,-0.017316017316017285,17.777777777777786,0.0
2018-10-16,114000,117500,113500,116500,503295,0.026431718061673992,29.16666666666667,0.2808219178082192
2018-10-17,117500,119500,116500,118500,385112,0.01716738197424883,27.65957446808511,0.24366074030894783
2018-10-18,118000,118500,114000,116000,708181,-0.021097046413502074,25.0,0.17808219178082177
2018-10-19,114500,117500,114000,115500,493067,-0.004310344827586188,20.0,0.06666666666666643
2018-10-22,115000,118000,114500,118000,378176,0.02164502164502169,28.30188679245282,0.48686298712749015
2018-10-23,117000,118000,114000,116500,575347,-0.012711864406779627,27.272727272727266,0.4392523364485977
2018-10-24,117500,118500,116000,117000,776694,0.0042918454935623185,29.09090909090908,0.5233644859813078
2018-10-25,116000,116000,102500,110000,1633392,-0.05982905982905984,26.229508196721312,0.3909912670445839
2018-10-26,110000,113000,107500,108000,867074,-0.018181818181818188,24.615384615384613,0.6003752345215753
2018-10-29,106000,108500,104000,106000,876545,-0.01851851851851849,25.000000000000014,0.6341463414634154
2018-10-30,106500,109500,106000,107500,429587,0.014150943396226356,30.158730158730165,1.0
2018-10-31,106500,107000,103500,106500,752213,-0.009302325581395321,33.33333333333333,1.0
2018-11-01,106500,109000,104500,108500,487868,0.018779342723004744,38.333333333333336,1.0
2018-11-02,107000,110500,106500,110000,586857,0.01382488479262678,44.06779661016949,1.0
2018-11-05,107000,107500,103500,104000,921610,-0.054545454545454564,30.769230769230774,0.4474539544962083
2018-11-06,105000,108500,104500,107500,775343,0.033653846153846256,33.82352941176471,0.5743579121789564
2018-11-07,106500,108000,105500,107500,619311,0.0,36.507936507936506,0.685893136597362
2018-11-08,109000,109000,105500,105500,588487,-0.018604651162790753,34.848484848484844,0.5260581688195628
2018-11-09,106000,110000,104500,105000,668003,-0.004739336492891044,29.032258064516128,0.2270604514399378
2018-11-12,105000,105500,100500,102000,792697,-0.02857142857142858,27.692307692307693,0.1581769436997321
2018-11-13,99900,102500,99600,102500,397209,0.004901960784313708,27.692307692307693,0.1581769436997321
2018-11-14,103500,104500,100500,101500,637102,-0.009756097560975618,33.9622641509434,0.4804997723708839
2018-11-15,101000,103500,100500,103000,449187,0.014778325123152802,40.38461538461539,0.806837606837607
2018-11-16,104000,104500,102000,103000,361507,0.0,43.75,0.9805931528662423
2018-11-19,103000,103500,101000,101500,555495,-0.014563106796116498,37.5,0.5989251592356689
2018-11-20,101000,101000,97100,97500,1295271,-0.039408866995073843,33.33333333333333,0.3444798301486197
2018-11-21,96500,97900,95800,97800,883111,0.003076923076922977,28.853754940711454,0.07092595856096215
2018-11-22,98000,98000,92500,92800,1527106,-0.05112474437627812,20.138888888888886,0.0
2018-11-23,92800,94000,92600,93700,558490,0.00969827586206895,28.270042194092824,0.34437825763216673
2018-11-26,93600,95800,93500,95100,663188,0.014941302027748238,21.29629629629629,0.049019607843137136
2018-11-27,95900,101500,95800,101000,1436195,0.062039957939011625,38.18181818181818,0.7641711229946524
2018-11-28,100500,101500,99800,101000,602728,0.0,41.1764705882353,0.8910034602076126
2018-11-29,102000,103000,99100,100000,811011,-0.00990099009900991,40.38461538461539,0.8574660633484164
2018-11-30,103000,108000,102500,107000,3017114,0.07000000000000006,58.33333333333333,1.0
